zip;name
3146;Május 1. út
3146;Rákóczi út
3146;Széchenyi út
3146;Sástó út
3146;Táncsics út
3077;A sor
3077;Ady Endre utca
3077;Alkotmány utca
3077;Arany János utca
3077;B sor
3077;Béke utca
3077;C sor
3077;Csengerháza
3077;Damjanich utca
3077;Dózsa György utca
3077;Fenyves utca
3077;Hunyadi út
3077;Kossuth Lajos utca
3077;Liget utca
3077;Magtár út
3077;Nógrádi út
3077;Petőfi Sándor utca
3077;Rákóczi Ferenc utca
3077;Rét út
3077;Rózsadomb utca
3077;Sport utca
3077;Szabadság utca
3077;Szentkút utca
3077;Vasút utca
3077;Vereb Péter út
3077;Zagyva utca
3152;Béke telep
3152;Béke telepi utca
3152;Dózsa utca
3152;Fenyves utca
3152;Határ utca
3152;Honvéd utca
3152;Ilonatelepi út
3152;Kisterenyei út
3152;Kossuth utca
3152;Kossuth út
3152;Petőfi utca
3152;Szabadság utca
3152;Szurdoki út
3152;Táncsics utca
3152;Tőkés út
3152;Vasút utca
3152;Zegyvai út
3152;Óvoda utca
3154;Almási út
3154;Bem utca
3154;Bochidi út
3154;Fő tér
3154;Galyai út
3154;Kossuth Lajos utca
3154;Malom út
3154;Mátra út
3154;Petőfi Sándor utca
3154;Rudolftanyai-út
3154;Rákóczi Ferenc utca
3154;Temető út
3154;Áfonya út
3069;Dózsa György utca
3069;Erzsike utca
3069;Nagymező utca
3069;Nefelejcs utca
3069;Petőfi Sándor utca
3069;Szabadság utca
3069;Temető utca
3069;Toldi út
3066;Béke út
3066;Szabadság utca
3047;Ady Endre utca
3047;Alkotmány utca
3047;Arany János utca
3047;Bem József utca
3047;Bocskai utca
3047;Béke utca
3047;Cserhát utca
3047;Damjanich utca
3047;Deréksor út
3047;Diófa utca
3047;Dózsa György utca
3047;Fő út
3047;Glatz Oszkár utca
3047;Hősök tere
3047;Ifjúság út
3047;Jókai Mór utca
3047;József Attila utca
3047;Kereszt út
3047;Kossuth Lajos utca
3047;Május 1. utca
3047;Onni Talas tér
3047;Petőfi utca
3047;Rigó Jancsi utca
3047;Rákóczi utca
3047;Rózsa utca
3047;Sport utca
3047;Szabadság utca
3047;Szent Márton utca
3047;Táncsics Mihály utca
3047;Vértanúk tere
3045;Cserhát sétány
3045;Fő tér
3045;Hegyalja utca
3045;Kossuth út
3045;Malom út
3045;Mihályfi Ernő tér
3045;Petőfi út
3045;Sárközi tér
3045;Táncsics út
3045;Virágospuszta
3045;Újtelep út
3066;Baross köz
3066;Béke utca
3066;Dobó utca
3066;Hunyadi utca
3066;Kossuth utca
3066;Rákóczi utca
3066;Szabadság utca
3066;Sziget köz
3066;Vörösmarty utca
3052;Ady Endre utca
3052;Bethlen Gábor utca
3052;Dózsa György utca
3052;Erzsike utca
3052;Forrás utca
3052;Gábor Áron utca
